"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"17359","懂航APP(#201)","/前端APP/登录注册与信息管理/002.第三方授权登录(#4949)","","","","android版第三方登录失败","","1","1","代码错误","Android","全部","[步骤]
1.点击第三方登录（微信、微博、QQ）
[结果]
1.微信登录失败，提示UNDIFINED
1.微博、QQ按钮无效
[期望]
登录成功","已关闭","0000-00-00","0","是","","王良升","2020-03-18","主干(#trunk)","Closed","2020-03-20","祝又忠","已解决","主干(#trunk)","2020-03-18","王良升","2020-03-20","0","","","王良升","2020-03-20","Screenshot_20200318_112152_com.jvtd.understandnavigation.jpg
",""
"17463","懂航APP(#201)","/(#0)","","","","用户在后台系统被删除，此时该用户处于登录状态的，应该被强制下线","","1","1","代码错误","全部","全部","[步骤]
1.用户登录系统；
2.后台删除该用户
[结果]
用户依然处于在线状态
[期望]
将用户强制下线","已关闭","0000-00-00","0","是","","王良升","2020-03-20","主干(#trunk)","Closed","2020-03-26","唐艳强","已解决","主干(#trunk)","2020-03-23","王良升","2020-03-26","0","","","王良升","2020-03-26","",""
"17720","懂航APP(#201)","/(#0)","","","","已成为会员的用户，第一次登录时，点击课程就直接跳转到充值会员界面。","","1","1","代码错误","IOS","全部","[步骤]
[结果]
[期望]
","已关闭","0000-00-00","0","是","","王良升","2020-03-26","主干(#trunk)","Closed","2020-04-07","赵远东","已解决","主干(#trunk)","2020-04-02","王良升","2020-04-07","0","","","王良升","2020-04-07","",""
"17722","懂航APP(#201)","/前端APP(#4892)","","","","页面跳转时，没有实现自动刷新，需要手动刷新","","1","2","代码错误","全部","全部","[步骤]
在首页的课程专区（名师专区、资讯专区）收藏一门课程（资讯），然后切换到“我的”页面。
里面的的收藏数并未改变，需要手动刷新页面才会同步数据。
[结果]

[期望]
切换页面就实现自动刷新","已关闭","0000-00-00","0","是","","王良升","2020-03-26","主干(#trunk)","Closed","2020-03-30","赵远东","已解决","主干(#trunk)","2020-03-28","王良升","2020-03-30","0","","","王良升","2020-03-30","切换页面实现自动刷新.png
",""
"17742","懂航APP(#201)","/管理后台/资讯管理/资讯管理列表(#4930)","","","","管理平台资讯信息管理缺少删除和评论","","1","1","代码错误","全部","全部","[步骤]

[结果]

[期望]
功能残缺，管理平台无法删除资讯，导致资讯类型创建后不能删除，最终导致app端资讯标签无限累积；
对资讯的评论也无法在平台查看
截图有文字说明，详情见截图","已关闭","0000-00-00","0","是","唐艳强,王良升,赵志勇","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-13","王良升","已解决","主干(#trunk)","2020-04-13","王良升","2020-04-13","0","","","王良升","2020-04-13","管理平台-资讯.png
管理平台-资讯-原型图.png
",""
"17745","懂航APP(#201)","/管理后台/名师管理/名师课程资料界面(#4916)","","","","管理平台->名师信息管理-》管理课程-》编辑-》查看课程评论 ,查看按钮无效","","1","2","代码错误","全部","全部","[步骤]
管理平台->名师信息管理-》管理课程-》编辑-》查看
[结果]
点击查看按钮，没有事件响应。
[期望]
详情见截图","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-07","梁春旭","已解决","主干(#trunk)","2020-04-01","王良升","2020-04-07","0","","","王良升","2020-04-07","名师-课程-课程评论查看.png
",""
"17748","懂航APP(#201)","/管理后台/资讯管理/资讯资料界面(#4931)","","","","在管理平台的资讯信息管理下，资讯详情管理缺少资讯介绍","","1","2","代码错误","全部","全部","[步骤]
管理平台-》资讯管理-》资讯信息管理-》编辑-》资讯封面下添加一个资讯介绍字段
[结果]

[期望]
详情见截图","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-07","梁春旭","已解决","主干(#trunk)","2020-04-01","王良升","2020-04-07","0","","","王良升","2020-04-07","管理平台-资讯-资讯介绍.png
管理平台-资讯-资讯介绍-原型图.png
",""
"17754","懂航APP(#201)","/前端APP/个人测评/002.个人测评--答题(#4974)","","","","答题逻辑判断错误","","1","2","代码错误","全部","全部","[步骤]
复现步骤：点击正确答案，再点一次提示答案。操作下来，结果是：提示答案将我的答案清空。显示我未答题
[结果]

[期望]

","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-01","祝又忠","已解决","主干(#trunk)","2020-03-27","王良升","2020-04-01","0","","","王良升","2020-04-01","",""
"17762","懂航APP(#201)","/管理后台/资源平台管理/资源标签管理(#4917)","","","","管理平台-》资源标签，无法创建二级资源标签","","1","1","代码错误","全部","全部","[步骤]
管理平台-》资源平台管理-》资源平台类型管理-》添加资源
[结果]
在已经存在四个一级资源标签的情况下，创建二级资源会提示““资源一级标签不能超过四个““。如果一级资源不满四个，功能就正常
[期望]

","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-09","唐艳强","已解决","主干(#trunk)","2020-04-09","王良升","2020-04-09","0","","","王良升","2020-04-09","管理平台-资源类型-二级标签.png
",""
"17767","懂航APP(#201)","/管理后台(#4891)","","","","管理平台删除的用户，前端不再展示他的帖子和评论记录","","1","2","代码错误","全部","全部","[步骤]
注册一个账号，进行发帖子，发评论操作，然后再管理平台注销该用户。
重新使用同一个电话号码注册用户。进来还能查看“曾今的自己”发的帖子和评论。
[结果]

[期望]
屏蔽已经被注销的用户的帖子和评论。前端不展示","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-07","唐艳强","已解决","主干(#trunk)","2020-04-03","王良升","2020-04-07","0","","","王良升","2020-04-07","",""
